Date,Symbol,Close
5/31/12,JPM,33.15
6/1/12,JPM,31.93
6/4/12,JPM,31
6/5/12,JPM,31.99
6/6/12,JPM,33.07
6/7/12,JPM,32.81
6/8/12,JPM,33.68
6/11/12,JPM,32.82
6/12/12,JPM,33.77
6/13/12,JPM,34.3
6/14/12,JPM,34.65
6/15/12,JPM,35.03
6/18/12,JPM,34.62
6/19/12,JPM,35.38
6/20/12,JPM,36.45
6/21/12,JPM,35.51
6/22/12,JPM,35.99
6/25/12,JPM,35.32
6/26/12,JPM,35.71
6/27/12,JPM,36.78
6/28/12,JPM,35.88
6/29/12,JPM,35.73
7/2/12,JPM,36.28
7/3/12,JPM,35.88
7/5/12,JPM,34.38
7/6/12,JPM,33.9
7/9/12,JPM,33.96
7/10/12,JPM,34.25
7/11/12,JPM,34.59
7/12/12,JPM,34.04
7/13/12,JPM,36.07
7/16/12,JPM,35.09
7/17/12,JPM,34.99
7/18/12,JPM,34.96
7/19/12,JPM,34.46
7/20/12,JPM,33.9
7/23/12,JPM,34.44
7/24/12,JPM,34.73
7/25/12,JPM,35.17
7/26/12,JPM,35.81
7/27/12,JPM,36.89
7/30/12,JPM,36.14
7/31/12,JPM,36
8/1/12,JPM,36
8/2/12,JPM,35.17
8/3/12,JPM,36.09
8/6/12,JPM,36.3
8/7/12,JPM,37.01
8/8/12,JPM,37.16
8/9/12,JPM,36.92
8/10/12,JPM,36.97
8/13/12,JPM,36.99
8/14/12,JPM,37.1
8/15/12,JPM,37.07
8/16/12,JPM,37.1
8/17/12,JPM,36.98
8/20/12,JPM,37.37
8/21/12,JPM,38.04
8/22/12,JPM,37.83
8/23/12,JPM,37.23
8/24/12,JPM,37.17
8/27/12,JPM,37.23
8/28/12,JPM,37.13
8/29/12,JPM,37.3
8/30/12,JPM,36.9
8/31/12,JPM,37.14
9/4/12,JPM,37.01
9/5/12,JPM,37.11
9/6/12,JPM,38.69
9/7/12,JPM,39.3
9/10/12,JPM,38.76
9/11/12,JPM,39.6
9/12/12,JPM,39.92
9/13/12,JPM,41.4
9/14/12,JPM,41.57
9/17/12,JPM,41.19
9/18/12,JPM,41.26
9/19/12,JPM,41.34
9/20/12,JPM,41.25
9/21/12,JPM,40.88
9/24/12,JPM,41.23
9/25/12,JPM,40.55
9/26/12,JPM,40.24
9/27/12,JPM,40.68
9/28/12,JPM,40.48
10/1/12,JPM,40.97
10/2/12,JPM,40.92
10/3/12,JPM,40.86
10/4/12,JPM,41.82
10/5/12,JPM,41.71
10/8/12,JPM,41.66
10/9/12,JPM,41.38
10/10/12,JPM,41.77
10/11/12,JPM,42.1
10/12/12,JPM,41.62
10/15/12,JPM,42.38
10/16/12,JPM,42.83
10/17/12,JPM,43.32
10/18/12,JPM,43.01
10/19/12,JPM,42.32
10/22/12,JPM,42.09
10/23/12,JPM,41.33
10/24/12,JPM,41.71
10/25/12,JPM,41.67
10/26/12,JPM,41.16
10/31/12,JPM,41.68
11/1/12,JPM,42.84
11/2/12,JPM,42.42
11/5/12,JPM,42.27
11/6/12,JPM,42.88
11/7/12,JPM,40.48
11/8/12,JPM,40.4
11/9/12,JPM,40.62
11/12/12,JPM,40.58
11/13/12,JPM,40.04
11/14/12,JPM,39.29
11/15/12,JPM,39.39
11/16/12,JPM,39.53
11/19/12,JPM,40.59
11/20/12,JPM,40.7
11/21/12,JPM,40.73
11/23/12,JPM,41.09
11/26/12,JPM,40.88
11/27/12,JPM,40.75
11/28/12,JPM,40.83
11/29/12,JPM,41.22
11/30/12,JPM,41.08
12/3/12,JPM,40.81
12/4/12,JPM,40.57
12/5/12,JPM,41.2
12/6/12,JPM,41.47
12/7/12,JPM,42.56
12/10/12,JPM,42.31
12/11/12,JPM,42.64
12/12/12,JPM,42.77
12/13/12,JPM,42.78
12/14/12,JPM,42.81
12/17/12,JPM,43.48
12/18/12,JPM,43.87
12/19/12,JPM,43.53
12/20/12,JPM,44.53
12/21/12,JPM,44
12/24/12,JPM,43.92
12/26/12,JPM,43.96
12/27/12,JPM,43.63
12/28/12,JPM,43.24
12/31/12,JPM,43.97
1/2/13,JPM,44.66
1/3/13,JPM,44.57
1/4/13,JPM,45.36
1/7/13,JPM,45.41
1/8/13,JPM,45.5
1/9/13,JPM,45.47
1/10/13,JPM,46.15
1/11/13,JPM,46.14
1/14/13,JPM,45.88
1/15/13,JPM,46.35
1/16/13,JPM,46.82
1/17/13,JPM,46.44
1/18/13,JPM,46.46
1/22/13,JPM,46.54
1/23/13,JPM,46.23
1/24/13,JPM,46.37
1/25/13,JPM,47.16
1/28/13,JPM,46.64
1/29/13,JPM,47.12
1/30/13,JPM,47.13
1/31/13,JPM,47.05
2/1/13,JPM,47.85
2/4/13,JPM,47.68
2/5/13,JPM,48.79
2/6/13,JPM,48.61
2/7/13,JPM,48.23
2/8/13,JPM,48.63
2/11/13,JPM,48.66
2/12/13,JPM,49.14
2/13/13,JPM,48.68
2/14/13,JPM,49.22
2/15/13,JPM,48.88
2/19/13,JPM,49.45
2/20/13,JPM,48.61
2/21/13,JPM,48.25
