Date,Symbol,Close
8/17/12,ntrs,47.24
8/20/12,ntrs,47.1
8/21/12,ntrs,46.95
8/22/12,ntrs,46.88
8/23/12,ntrs,46.18
8/24/12,ntrs,46.47
8/27/12,ntrs,46.27
8/28/12,ntrs,46.31
8/29/12,ntrs,46.38
8/30/12,ntrs,46.17
8/31/12,ntrs,46.44
9/4/12,ntrs,46.75
9/5/12,ntrs,46.74
9/6/12,ntrs,47.91
9/7/12,ntrs,47.99
9/10/12,ntrs,47.1
9/11/12,ntrs,47.44
9/12/12,ntrs,47.94
9/13/12,ntrs,48.88
9/14/12,ntrs,49.13
9/17/12,ntrs,48.64
9/18/12,ntrs,48.52
9/19/12,ntrs,47.83
9/20/12,ntrs,47.75
9/21/12,ntrs,47.84
9/24/12,ntrs,47.76
9/25/12,ntrs,46.96
9/26/12,ntrs,46.41
9/27/12,ntrs,46.55
9/28/12,ntrs,46.42
10/1/12,ntrs,46.88
10/2/12,ntrs,47.2
10/3/12,ntrs,47.47
10/4/12,ntrs,47.71
10/5/12,ntrs,47.35
10/8/12,ntrs,47.11
10/9/12,ntrs,46.75
10/10/12,ntrs,46.8
10/11/12,ntrs,47.05
10/12/12,ntrs,46.29
10/15/12,ntrs,46.66
10/16/12,ntrs,47.53
10/17/12,ntrs,48.21
10/18/12,ntrs,48.32
10/19/12,ntrs,47.1
10/22/12,ntrs,47.19
10/23/12,ntrs,46.93
10/24/12,ntrs,47.09
10/25/12,ntrs,47.33
10/26/12,ntrs,47.17
10/31/12,ntrs,47.8
11/1/12,ntrs,48.3
11/2/12,ntrs,47.8
11/5/12,ntrs,48.61
11/6/12,ntrs,48.76
11/7/12,ntrs,47.01
11/8/12,ntrs,46.54
11/9/12,ntrs,46.64
11/12/12,ntrs,46.98
11/13/12,ntrs,46.66
11/14/12,ntrs,46.09
11/15/12,ntrs,46.52
11/16/12,ntrs,46.85
11/19/12,ntrs,47.35
11/20/12,ntrs,47.67
11/21/12,ntrs,47.81
11/23/12,ntrs,48.29
11/26/12,ntrs,48.2
11/27/12,ntrs,47.88
11/28/12,ntrs,47.95
11/29/12,ntrs,48.13
11/30/12,ntrs,48.02
12/3/12,ntrs,48.06
12/4/12,ntrs,47.57
12/5/12,ntrs,47.44
12/6/12,ntrs,47.65
12/7/12,ntrs,47.85
12/10/12,ntrs,47.73
12/11/12,ntrs,47.95
12/12/12,ntrs,47.72
12/13/12,ntrs,47.55
12/14/12,ntrs,47.12
12/17/12,ntrs,48.7
12/18/12,ntrs,49.49
12/19/12,ntrs,49.6
12/20/12,ntrs,50.21
12/21/12,ntrs,50.16
12/24/12,ntrs,50.17
12/26/12,ntrs,49.9
12/27/12,ntrs,49.94
12/28/12,ntrs,49.95
12/31/12,ntrs,50.16
1/2/13,ntrs,51.81
1/3/13,ntrs,51.79
1/4/13,ntrs,53.42
1/7/13,ntrs,53.09
1/8/13,ntrs,52.14
1/9/13,ntrs,52.15
1/10/13,ntrs,52.41
1/11/13,ntrs,52.57
1/14/13,ntrs,52.52
1/15/13,ntrs,52.81
1/16/13,ntrs,49.78
1/17/13,ntrs,50.05
1/18/13,ntrs,50.25
1/22/13,ntrs,50.66
1/23/13,ntrs,50.57
1/24/13,ntrs,50.88
1/25/13,ntrs,51.32
1/28/13,ntrs,51.54
1/29/13,ntrs,51.77
1/30/13,ntrs,51.97
1/31/13,ntrs,51.48
2/1/13,ntrs,52.05
2/4/13,ntrs,51.28
2/5/13,ntrs,51.74
2/6/13,ntrs,52.39
2/7/13,ntrs,52.58
2/8/13,ntrs,52.7
2/11/13,ntrs,52.69
2/12/13,ntrs,52.93
2/13/13,ntrs,53.22
2/14/13,ntrs,53.09
2/15/13,ntrs,53.47
2/19/13,ntrs,53.91
2/20/13,ntrs,53.26
2/21/13,ntrs,52.52
2/22/13,ntrs,53.23
2/25/13,ntrs,52.18
2/26/13,ntrs,52.48
2/27/13,ntrs,53.29
2/28/13,ntrs,53.19
3/1/13,ntrs,53.28
3/4/13,ntrs,53.84
3/5/13,ntrs,54.37
3/6/13,ntrs,54.05
3/7/13,ntrs,54.41
3/8/13,ntrs,54.93
3/11/13,ntrs,55.1
3/12/13,ntrs,54.79
3/13/13,ntrs,54.85
3/14/13,ntrs,55.19
3/15/13,ntrs,54.55
3/18/13,ntrs,54.25
3/19/13,ntrs,53.99
3/20/13,ntrs,54.55
3/21/13,ntrs,53.81
3/22/13,ntrs,54.77
3/25/13,ntrs,54.42
3/26/13,ntrs,54.86
3/27/13,ntrs,54.65
3/28/13,ntrs,54.56
4/1/13,ntrs,54.38
4/2/13,ntrs,54.78
4/3/13,ntrs,54.24
4/4/13,ntrs,54.34
4/5/13,ntrs,53.76
4/8/13,ntrs,54.58
4/9/13,ntrs,54.75
4/10/13,ntrs,55.63
4/11/13,ntrs,56.09
4/12/13,ntrs,55.64
4/15/13,ntrs,53.81
4/16/13,ntrs,53.4
4/17/13,ntrs,52.73
4/18/13,ntrs,51.99
4/19/13,ntrs,52.5
4/22/13,ntrs,52.35
4/23/13,ntrs,52.86
4/24/13,ntrs,52.91
4/25/13,ntrs,53.12
4/26/13,ntrs,52.89
4/29/13,ntrs,53.34
4/30/13,ntrs,53.92
5/1/13,ntrs,53.18
5/2/13,ntrs,53.21
5/3/13,ntrs,53.6
5/6/13,ntrs,53.84
5/7/13,ntrs,54.2
5/8/13,ntrs,54.38
5/9/13,ntrs,54.54
5/10/13,ntrs,54.43
5/13/13,ntrs,55.11
5/14/13,ntrs,56.67
5/15/13,ntrs,57.06
5/16/13,ntrs,57.18
5/17/13,ntrs,58.27
5/20/13,ntrs,58.23
5/21/13,ntrs,57.96
5/22/13,ntrs,57.6
5/23/13,ntrs,57.11
5/24/13,ntrs,57.31
5/28/13,ntrs,58.84
5/29/13,ntrs,58.57
5/30/13,ntrs,58.84
5/31/13,ntrs,58.15
6/3/13,ntrs,58.38
6/4/13,ntrs,57.81
6/5/13,ntrs,56.69
6/6/13,ntrs,57.45
6/7/13,ntrs,58.23
6/10/13,ntrs,58.63
6/11/13,ntrs,57.49
6/12/13,ntrs,56.8
6/13/13,ntrs,57.66
6/14/13,ntrs,57.12
6/17/13,ntrs,58.05
6/18/13,ntrs,58.36
6/19/13,ntrs,57.9
6/20/13,ntrs,58.11
6/21/13,ntrs,57.99
6/24/13,ntrs,57.08
6/25/13,ntrs,57.15
6/26/13,ntrs,57.3
6/27/13,ntrs,58.31
6/28/13,ntrs,57.9
7/1/13,ntrs,58.76
7/2/13,ntrs,58.63
7/3/13,ntrs,58.83
7/5/13,ntrs,60.34
7/8/13,ntrs,60.6
7/9/13,ntrs,61.13
7/10/13,ntrs,61.16
7/11/13,ntrs,60.89
7/12/13,ntrs,61.51
7/15/13,ntrs,61.73
7/16/13,ntrs,60.75
7/17/13,ntrs,59.41
7/18/13,ntrs,59.13
7/19/13,ntrs,59.14
7/22/13,ntrs,59.42
7/23/13,ntrs,60.11
7/24/13,ntrs,59.11
7/25/13,ntrs,59.15
7/26/13,ntrs,58.96
7/29/13,ntrs,58.39
7/30/13,ntrs,58.29
7/31/13,ntrs,58.54
8/1/13,ntrs,59.51
8/2/13,ntrs,59.21
8/5/13,ntrs,58.5
8/6/13,ntrs,58.34
8/7/13,ntrs,57.64
8/8/13,ntrs,57.68
8/9/13,ntrs,57.86
8/12/13,ntrs,57.06
8/13/13,ntrs,57.57
8/14/13,ntrs,57.32
8/15/13,ntrs,56.6
8/16/13,ntrs,56.62
8/19/13,ntrs,56.04
8/20/13,ntrs,56.5
8/21/13,ntrs,56.04
8/22/13,ntrs,57.06
8/23/13,ntrs,57.03
8/26/13,ntrs,56.37
8/27/13,ntrs,54.77
8/28/13,ntrs,54.99
8/29/13,ntrs,55.1
8/30/13,ntrs,54.87
9/3/13,ntrs,55.2
9/4/13,ntrs,55.5
9/5/13,ntrs,55.47
9/6/13,ntrs,55.47
9/9/13,ntrs,55.6
9/10/13,ntrs,56.02
9/11/13,ntrs,55.41
9/12/13,ntrs,55.01
9/13/13,ntrs,54.81
9/16/13,ntrs,55.3
9/17/13,ntrs,55.61
9/18/13,ntrs,56.01
9/19/13,ntrs,56.02
9/20/13,ntrs,55.64
9/23/13,ntrs,55.21
9/24/13,ntrs,55.09
9/25/13,ntrs,55.52
9/26/13,ntrs,55.29
9/27/13,ntrs,54.78
9/30/13,ntrs,54.38
10/1/13,ntrs,54.73
10/2/13,ntrs,53.68
10/3/13,ntrs,53.15
10/4/13,ntrs,53.63
10/7/13,ntrs,53.13
10/8/13,ntrs,52.41
10/9/13,ntrs,52.99
10/10/13,ntrs,54.73
10/11/13,ntrs,54.79
10/14/13,ntrs,55.25
10/15/13,ntrs,54.48
10/16/13,ntrs,55.04
10/17/13,ntrs,56.51
10/18/13,ntrs,56.52
10/21/13,ntrs,56.36
10/22/13,ntrs,55.96
10/23/13,ntrs,55.53
10/24/13,ntrs,56.01
10/25/13,ntrs,56.4
10/28/13,ntrs,56.85
10/29/13,ntrs,57.18
10/30/13,ntrs,57.1
10/31/13,ntrs,56.42
11/1/13,ntrs,56.58
11/4/13,ntrs,56.65
11/5/13,ntrs,57.14
11/6/13,ntrs,57.18
11/7/13,ntrs,56.23
11/8/13,ntrs,58.4
11/11/13,ntrs,58.1
11/12/13,ntrs,57.7
11/13/13,ntrs,57.64
11/14/13,ntrs,57.2
11/15/13,ntrs,57.15
11/18/13,ntrs,56.99
11/19/13,ntrs,57.24
11/20/13,ntrs,57.4
11/21/13,ntrs,57.94
11/22/13,ntrs,58.1
11/25/13,ntrs,58.59
11/26/13,ntrs,58.66
11/27/13,ntrs,58.94
11/29/13,ntrs,58.99
12/2/13,ntrs,58.7
12/3/13,ntrs,58.35
12/4/13,ntrs,57.87
12/5/13,ntrs,57.75
12/6/13,ntrs,58.75
12/9/13,ntrs,58.95
12/10/13,ntrs,58.27
12/11/13,ntrs,57.17
12/12/13,ntrs,57.14
12/13/13,ntrs,57.58
12/16/13,ntrs,57.82
12/17/13,ntrs,57.5
12/18/13,ntrs,59.37
12/19/13,ntrs,59.28
12/20/13,ntrs,60.81
12/23/13,ntrs,61.29
12/24/13,ntrs,61.3
12/26/13,ntrs,61.71
12/27/13,ntrs,61.45
12/30/13,ntrs,61.72
12/31/13,ntrs,61.89
1/2/14,ntrs,60.89
1/3/14,ntrs,61.3
1/6/14,ntrs,60.92
1/7/14,ntrs,61.7
1/8/14,ntrs,62.02
1/9/14,ntrs,61.49
1/10/14,ntrs,61.12
1/13/14,ntrs,60.43
1/14/14,ntrs,60.6
