Date,Close,Stock,,Date,Close,Stock,,Date,Close,Stock
2/8/2012 16:00,38.3,JPM,,2/8/2012 16:00,41.81,STT,,2/8/2012 16:00,44.19,NTRS
2/9/2012 16:00,37.86,JPM,,2/9/2012 16:00,41.1,STT,,2/9/2012 16:00,44.06,NTRS
2/10/2012 16:00,37.61,JPM,,2/10/2012 16:00,40.66,STT,,2/10/2012 16:00,43.63,NTRS
2/13/2012 16:00,38.3,JPM,,2/13/2012 16:00,40.23,STT,,2/13/2012 16:00,43.65,NTRS
2/14/2012 16:00,37.92,JPM,,2/14/2012 16:00,39.46,STT,,2/14/2012 16:00,43.41,NTRS
2/15/2012 16:00,37.4,JPM,,2/15/2012 16:00,39.52,STT,,2/15/2012 16:00,43.18,NTRS
2/16/2012 16:00,38,JPM,,2/16/2012 16:00,40.36,STT,,2/16/2012 16:00,43.85,NTRS
2/17/2012 16:00,38.47,JPM,,2/17/2012 16:00,40.25,STT,,2/17/2012 16:00,43.88,NTRS
2/21/2012 16:00,38.46,JPM,,2/21/2012 16:00,40.01,STT,,2/21/2012 16:00,43.73,NTRS
2/22/2012 16:00,38.07,JPM,,2/22/2012 16:00,39.62,STT,,2/22/2012 16:00,43.02,NTRS
2/23/2012 16:00,38.49,JPM,,2/23/2012 16:00,40.86,STT,,2/23/2012 16:00,43.88,NTRS
2/24/2012 16:00,38.28,JPM,,2/24/2012 16:00,40.53,STT,,2/24/2012 16:00,43.86,NTRS
2/27/2012 16:00,39.06,JPM,,2/27/2012 16:00,41.46,STT,,2/27/2012 16:00,44.43,NTRS
2/28/2012 16:00,39.21,JPM,,2/28/2012 16:00,42.02,STT,,2/28/2012 16:00,44.39,NTRS
2/29/2012 16:00,39.24,JPM,,2/29/2012 16:00,42.23,STT,,2/29/2012 16:00,44.41,NTRS
3/1/2012 16:00,40.37,JPM,,3/1/2012 16:00,42.42,STT,,3/1/2012 16:00,44.96,NTRS
3/2/2012 16:00,40.63,JPM,,3/2/2012 16:00,41.98,STT,,3/2/2012 16:00,44.93,NTRS
3/5/2012 16:00,40.4,JPM,,3/5/2012 16:00,41.76,STT,,3/5/2012 16:00,44.33,NTRS
3/6/2012 16:00,39.32,JPM,,3/6/2012 16:00,40.92,STT,,3/6/2012 16:00,43.49,NTRS
3/7/2012 16:00,39.95,JPM,,3/7/2012 16:00,41.42,STT,,3/7/2012 16:00,43.64,NTRS
3/8/2012 16:00,40.44,JPM,,3/8/2012 16:00,41.76,STT,,3/8/2012 16:00,43.97,NTRS
3/9/2012 16:00,41.03,JPM,,3/9/2012 16:00,42.1,STT,,3/9/2012 16:00,44.28,NTRS
3/12/2012 16:00,40.54,JPM,,3/12/2012 16:00,41.68,STT,,3/12/2012 16:00,44.62,NTRS
3/13/2012 16:00,43.39,JPM,,3/13/2012 16:00,43.87,STT,,3/13/2012 16:00,45.57,NTRS
3/14/2012 16:00,43.58,JPM,,3/14/2012 16:00,44.88,STT,,3/14/2012 16:00,45.94,NTRS
3/15/2012 16:00,44.7,JPM,,3/15/2012 16:00,45.84,STT,,3/15/2012 16:00,47.2,NTRS
3/16/2012 16:00,44.57,JPM,,3/16/2012 16:00,45.76,STT,,3/16/2012 16:00,47.27,NTRS
3/19/2012 16:00,45,JPM,,3/19/2012 16:00,45.96,STT,,3/19/2012 16:00,47.62,NTRS
3/20/2012 16:00,45.38,JPM,,3/20/2012 16:00,45.9,STT,,3/20/2012 16:00,47.61,NTRS
3/21/2012 16:00,45.12,JPM,,3/21/2012 16:00,45.53,STT,,3/21/2012 16:00,47.4,NTRS
3/22/2012 16:00,44.65,JPM,,3/22/2012 16:00,45.01,STT,,3/22/2012 16:00,46.95,NTRS
3/23/2012 16:00,45.16,JPM,,3/23/2012 16:00,45.63,STT,,3/23/2012 16:00,47.26,NTRS
3/26/2012 16:00,46.17,JPM,,3/26/2012 16:00,46.29,STT,,3/26/2012 16:00,47.9,NTRS
3/27/2012 16:00,45.89,JPM,,3/27/2012 16:00,45.49,STT,,3/27/2012 16:00,47.48,NTRS
3/28/2012 16:00,46.27,JPM,,3/28/2012 16:00,45.47,STT,,3/28/2012 16:00,47.53,NTRS
3/29/2012 16:00,45.67,JPM,,3/29/2012 16:00,45.06,STT,,3/29/2012 16:00,47.1,NTRS
3/30/2012 16:00,45.98,JPM,,3/30/2012 16:00,45.5,STT,,3/30/2012 16:00,47.45,NTRS
4/2/2012 16:00,46.13,JPM,,4/2/2012 16:00,45.88,STT,,4/2/2012 16:00,47.83,NTRS
4/3/2012 16:00,45.42,JPM,,4/3/2012 16:00,45.9,STT,,4/3/2012 16:00,47.9,NTRS
4/4/2012 16:00,44.41,JPM,,4/4/2012 16:00,44.6,STT,,4/4/2012 16:00,47.04,NTRS
4/5/2012 16:00,44.34,JPM,,4/5/2012 16:00,44.56,STT,,4/5/2012 16:00,47.1,NTRS
4/9/2012 16:00,43.89,JPM,,4/9/2012 16:00,43.82,STT,,4/9/2012 16:00,46.22,NTRS
4/10/2012 16:00,42.96,JPM,,4/10/2012 16:00,43,STT,,4/10/2012 16:00,45.3,NTRS
4/11/2012 16:00,44.01,JPM,,4/11/2012 16:00,43.32,STT,,4/11/2012 16:00,46.02,NTRS
4/12/2012 16:00,44.84,JPM,,4/12/2012 16:00,44.18,STT,,4/12/2012 16:00,46.79,NTRS
4/13/2012 16:00,43.21,JPM,,4/13/2012 16:00,43.19,STT,,4/13/2012 16:00,45.7,NTRS
4/16/2012 16:00,43.33,JPM,,4/16/2012 16:00,43.68,STT,,4/16/2012 16:00,46.16,NTRS
4/17/2012 16:00,43.9,JPM,,4/17/2012 16:00,44.55,STT,,4/17/2012 16:00,46.87,NTRS
4/18/2012 16:00,43.29,JPM,,4/18/2012 16:00,44.94,STT,,4/18/2012 16:00,46.55,NTRS
4/19/2012 16:00,43.22,JPM,,4/19/2012 16:00,45.03,STT,,4/19/2012 16:00,46.46,NTRS
4/20/2012 16:00,42.72,JPM,,4/20/2012 16:00,45.12,STT,,4/20/2012 16:00,46.32,NTRS
4/23/2012 16:00,42.85,JPM,,4/23/2012 16:00,44.57,STT,,4/23/2012 16:00,45.81,NTRS
4/24/2012 16:00,43.28,JPM,,4/24/2012 16:00,45.22,STT,,4/24/2012 16:00,46.42,NTRS
4/25/2012 16:00,43.16,JPM,,4/25/2012 16:00,45.95,STT,,4/25/2012 16:00,46.91,NTRS
4/26/2012 16:00,43.8,JPM,,4/26/2012 16:00,46.36,STT,,4/26/2012 16:00,47.17,NTRS
4/27/2012 16:00,43.34,JPM,,4/27/2012 16:00,46.32,STT,,4/27/2012 16:00,47.58,NTRS
4/30/2012 16:00,42.98,JPM,,4/30/2012 16:00,46.22,STT,,4/30/2012 16:00,47.56,NTRS
5/1/2012 16:00,43.79,JPM,,5/1/2012 16:00,46.55,STT,,5/1/2012 16:00,47.82,NTRS
5/2/2012 16:00,43.2,JPM,,5/2/2012 16:00,46.16,STT,,5/2/2012 16:00,47.12,NTRS
5/3/2012 16:00,43.01,JPM,,5/3/2012 16:00,46.07,STT,,5/3/2012 16:00,47.04,NTRS
5/4/2012 16:00,41.75,JPM,,5/4/2012 16:00,45.19,STT,,5/4/2012 16:00,46.61,NTRS
5/7/2012 16:00,41.78,JPM,,5/7/2012 16:00,45.27,STT,,5/7/2012 16:00,46.73,NTRS
5/8/2012 16:00,41.38,JPM,,5/8/2012 16:00,44.74,STT,,5/8/2012 16:00,46.23,NTRS
5/9/2012 16:00,40.64,JPM,,5/9/2012 16:00,43.66,STT,,5/9/2012 16:00,45.16,NTRS
5/10/2012 16:00,40.74,JPM,,5/10/2012 16:00,43.9,STT,,5/10/2012 16:00,45.37,NTRS
5/11/2012 16:00,36.96,JPM,,5/11/2012 16:00,43.57,STT,,5/11/2012 16:00,45.12,NTRS
5/14/2012 16:00,35.79,JPM,,5/14/2012 16:00,42.44,STT,,5/14/2012 16:00,44.19,NTRS
5/15/2012 16:00,36.24,JPM,,5/15/2012 16:00,42.78,STT,,5/15/2012 16:00,44.37,NTRS
5/16/2012 16:00,35.46,JPM,,5/16/2012 16:00,41.8,STT,,5/16/2012 16:00,43.97,NTRS
5/17/2012 16:00,33.93,JPM,,5/17/2012 16:00,41.5,STT,,5/17/2012 16:00,43.57,NTRS
5/18/2012 16:00,33.49,JPM,,5/18/2012 16:00,41.1,STT,,5/18/2012 16:00,43.17,NTRS
5/21/2012 16:00,32.51,JPM,,5/21/2012 16:00,41.64,STT,,5/21/2012 16:00,43.31,NTRS
5/22/2012 16:00,34.01,JPM,,5/22/2012 16:00,41.44,STT,,5/22/2012 16:00,43.37,NTRS
5/23/2012 16:00,34.01,JPM,,5/23/2012 16:00,41.44,STT,,5/23/2012 16:00,43.52,NTRS
5/24/2012 16:00,33.97,JPM,,5/24/2012 16:00,41.73,STT,,5/24/2012 16:00,43.66,NTRS
5/25/2012 16:00,33.5,JPM,,5/25/2012 16:00,41.78,STT,,5/25/2012 16:00,43.49,NTRS
5/29/2012 16:00,33.63,JPM,,5/29/2012 16:00,42.57,STT,,5/29/2012 16:00,43.94,NTRS
5/30/2012 16:00,32.96,JPM,,5/30/2012 16:00,41.63,STT,,5/30/2012 16:00,42.85,NTRS
5/31/2012 16:00,33.15,JPM,,5/31/2012 16:00,41.21,STT,,5/31/2012 16:00,43.18,NTRS
6/1/2012 16:00,31.93,JPM,,6/1/2012 16:00,39.88,STT,,6/1/2012 16:00,41.72,NTRS
6/4/2012 16:00,31,JPM,,6/4/2012 16:00,39.52,STT,,6/4/2012 16:00,41.59,NTRS
6/5/2012 16:00,31.99,JPM,,6/5/2012 16:00,39.86,STT,,6/5/2012 16:00,41.47,NTRS
6/6/2012 16:00,33.07,JPM,,6/6/2012 16:00,41.12,STT,,6/6/2012 16:00,42.39,NTRS
6/7/2012 16:00,32.81,JPM,,6/7/2012 16:00,41.85,STT,,6/7/2012 16:00,42.76,NTRS
6/8/2012 16:00,33.68,JPM,,6/8/2012 16:00,42.16,STT,,6/8/2012 16:00,43.27,NTRS
6/11/2012 16:00,32.82,JPM,,6/11/2012 16:00,42.79,STT,,6/11/2012 16:00,42.82,NTRS
6/12/2012 16:00,33.77,JPM,,6/12/2012 16:00,43.42,STT,,6/12/2012 16:00,43.69,NTRS
6/13/2012 16:00,34.3,JPM,,6/13/2012 16:00,43.32,STT,,6/13/2012 16:00,43.03,NTRS
6/14/2012 16:00,34.65,JPM,,6/14/2012 16:00,43.3,STT,,6/14/2012 16:00,43.64,NTRS
6/15/2012 16:00,35.03,JPM,,6/15/2012 16:00,43.85,STT,,6/15/2012 16:00,44.35,NTRS
6/18/2012 16:00,34.62,JPM,,6/18/2012 16:00,43.61,STT,,6/18/2012 16:00,44,NTRS
6/19/2012 16:00,35.38,JPM,,6/19/2012 16:00,44.42,STT,,6/19/2012 16:00,44.64,NTRS
6/20/2012 16:00,36.45,JPM,,6/20/2012 16:00,43.9,STT,,6/20/2012 16:00,44.53,NTRS
6/21/2012 16:00,35.51,JPM,,6/21/2012 16:00,43.14,STT,,6/21/2012 16:00,43.29,NTRS
6/22/2012 16:00,35.99,JPM,,6/22/2012 16:00,43.91,STT,,6/22/2012 16:00,43.94,NTRS
6/25/2012 16:00,35.32,JPM,,6/25/2012 16:00,42.5,STT,,6/25/2012 16:00,43.46,NTRS
6/26/2012 16:00,35.71,JPM,,6/26/2012 16:00,42.5,STT,,6/26/2012 16:00,43.73,NTRS
6/27/2012 16:00,36.78,JPM,,6/27/2012 16:00,42.99,STT,,6/27/2012 16:00,43.95,NTRS
6/28/2012 16:00,35.88,JPM,,6/28/2012 16:00,43.17,STT,,6/28/2012 16:00,44.01,NTRS
6/29/2012 16:00,35.73,JPM,,6/29/2012 16:00,44.64,STT,,6/29/2012 16:00,46.02,NTRS
7/2/2012 16:00,36.28,JPM,,7/2/2012 16:00,44.72,STT,,7/2/2012 16:00,46.35,NTRS
7/3/2012 16:00,35.88,JPM,,7/3/2012 16:00,44.91,STT,,7/3/2012 16:00,46.62,NTRS
7/5/2012 16:00,34.38,JPM,,7/5/2012 16:00,44.8,STT,,7/5/2012 16:00,47.05,NTRS
7/6/2012 16:00,33.9,JPM,,7/6/2012 16:00,44.04,STT,,7/6/2012 16:00,46.49,NTRS
7/9/2012 16:00,33.96,JPM,,7/9/2012 16:00,43.67,STT,,7/9/2012 16:00,46.44,NTRS
7/10/2012 16:00,34.25,JPM,,7/10/2012 16:00,43.18,STT,,7/10/2012 16:00,45.8,NTRS
7/11/2012 16:00,34.59,JPM,,7/11/2012 16:00,43.2,STT,,7/11/2012 16:00,46.66,NTRS
7/12/2012 16:00,34.04,JPM,,7/12/2012 16:00,42.8,STT,,7/12/2012 16:00,45.82,NTRS
7/13/2012 16:00,36.07,JPM,,7/13/2012 16:00,44.11,STT,,7/13/2012 16:00,47.05,NTRS
7/16/2012 16:00,35.09,JPM,,7/16/2012 16:00,44.14,STT,,7/16/2012 16:00,47.03,NTRS
7/17/2012 16:00,34.99,JPM,,7/17/2012 16:00,41.33,STT,,7/17/2012 16:00,47.07,NTRS
7/18/2012 16:00,34.96,JPM,,7/18/2012 16:00,41.61,STT,,7/18/2012 16:00,46.24,NTRS
7/19/2012 16:00,34.46,JPM,,7/19/2012 16:00,41.54,STT,,7/19/2012 16:00,46,NTRS
7/20/2012 16:00,33.9,JPM,,7/20/2012 16:00,40.08,STT,,7/20/2012 16:00,45.3,NTRS
7/23/2012 16:00,34.44,JPM,,7/23/2012 16:00,39.72,STT,,7/23/2012 16:00,45.06,NTRS
7/24/2012 16:00,34.73,JPM,,7/24/2012 16:00,39.42,STT,,7/24/2012 16:00,44.82,NTRS
7/25/2012 16:00,35.17,JPM,,7/25/2012 16:00,39.17,STT,,7/25/2012 16:00,44.57,NTRS
7/26/2012 16:00,35.81,JPM,,7/26/2012 16:00,39.69,STT,,7/26/2012 16:00,45.44,NTRS
7/27/2012 16:00,36.89,JPM,,7/27/2012 16:00,40.37,STT,,7/27/2012 16:00,46.25,NTRS
7/30/2012 16:00,36.14,JPM,,7/30/2012 16:00,40.18,STT,,7/30/2012 16:00,45.71,NTRS
7/31/2012 16:00,36,JPM,,7/31/2012 16:00,40.38,STT,,7/31/2012 16:00,45.4,NTRS
8/1/2012 16:00,36,JPM,,8/1/2012 16:00,40.24,STT,,8/1/2012 16:00,45.05,NTRS
8/2/2012 16:00,35.17,JPM,,8/2/2012 16:00,39.56,STT,,8/2/2012 16:00,44.09,NTRS
8/3/2012 16:00,36.09,JPM,,8/3/2012 16:00,40.7,STT,,8/3/2012 16:00,45.48,NTRS
8/6/2012 16:00,36.3,JPM,,8/6/2012 16:00,40.49,STT,,8/6/2012 16:00,45.3,NTRS
8/7/2012 16:00,37.01,JPM,,8/7/2012 16:00,41.31,STT,,8/7/2012 16:00,46.01,NTRS
8/8/2012 16:00,37.16,JPM,,8/8/2012 16:00,41.38,STT,,8/8/2012 16:00,46.08,NTRS
8/9/2012 16:00,36.92,JPM,,8/9/2012 16:00,41.81,STT,,8/9/2012 16:00,46.17,NTRS
8/10/2012 16:00,36.97,JPM,,8/10/2012 16:00,41.85,STT,,8/10/2012 16:00,46.22,NTRS
8/13/2012 16:00,36.99,JPM,,8/13/2012 16:00,41.79,STT,,8/13/2012 16:00,46.23,NTRS
8/14/2012 16:00,37.1,JPM,,8/14/2012 16:00,41.22,STT,,8/14/2012 16:00,46.33,NTRS
8/15/2012 16:00,37.07,JPM,,8/15/2012 16:00,41.35,STT,,8/15/2012 16:00,46.49,NTRS
8/16/2012 16:00,37.1,JPM,,8/16/2012 16:00,41.57,STT,,8/16/2012 16:00,47.18,NTRS
8/17/2012 16:00,36.98,JPM,,8/17/2012 16:00,41.91,STT,,8/17/2012 16:00,47.24,NTRS
8/20/2012 16:00,37.37,JPM,,8/20/2012 16:00,41.91,STT,,8/20/2012 16:00,47.1,NTRS
8/21/2012 16:00,38.04,JPM,,8/21/2012 16:00,41.85,STT,,8/21/2012 16:00,46.95,NTRS
8/22/2012 16:00,37.83,JPM,,8/22/2012 16:00,41.68,STT,,8/22/2012 16:00,46.88,NTRS
8/23/2012 16:00,37.23,JPM,,8/23/2012 16:00,41.22,STT,,8/23/2012 16:00,46.18,NTRS
8/24/2012 16:00,37.17,JPM,,8/24/2012 16:00,41.44,STT,,8/24/2012 16:00,46.47,NTRS
8/27/2012 16:00,37.23,JPM,,8/27/2012 16:00,41.1,STT,,8/27/2012 16:00,46.27,NTRS
8/28/2012 16:00,37.13,JPM,,8/28/2012 16:00,41.1,STT,,8/28/2012 16:00,46.31,NTRS
8/29/2012 16:00,37.3,JPM,,8/29/2012 16:00,41.23,STT,,8/29/2012 16:00,46.38,NTRS
8/30/2012 16:00,36.9,JPM,,8/30/2012 16:00,41.18,STT,,8/30/2012 16:00,46.17,NTRS
8/31/2012 16:00,37.14,JPM,,8/31/2012 16:00,41.6,STT,,8/31/2012 16:00,46.44,NTRS
9/4/2012 16:00,37.01,JPM,,9/4/2012 16:00,41.72,STT,,9/4/2012 16:00,46.75,NTRS
9/5/2012 16:00,37.11,JPM,,9/5/2012 16:00,41.95,STT,,9/5/2012 16:00,46.74,NTRS
9/6/2012 16:00,38.69,JPM,,9/6/2012 16:00,42.86,STT,,9/6/2012 16:00,47.91,NTRS
9/7/2012 16:00,39.3,JPM,,9/7/2012 16:00,43,STT,,9/7/2012 16:00,47.99,NTRS
9/10/2012 16:00,38.76,JPM,,9/10/2012 16:00,42.9,STT,,9/10/2012 16:00,47.1,NTRS
9/11/2012 16:00,39.6,JPM,,9/11/2012 16:00,43.1,STT,,9/11/2012 16:00,47.44,NTRS
9/12/2012 16:00,39.92,JPM,,9/12/2012 16:00,43.18,STT,,9/12/2012 16:00,47.94,NTRS
9/13/2012 16:00,41.4,JPM,,9/13/2012 16:00,44.09,STT,,9/13/2012 16:00,48.88,NTRS
9/14/2012 16:00,41.57,JPM,,9/14/2012 16:00,43.92,STT,,9/14/2012 16:00,49.13,NTRS
9/17/2012 16:00,41.19,JPM,,9/17/2012 16:00,43.91,STT,,9/17/2012 16:00,48.64,NTRS
9/18/2012 16:00,41.26,JPM,,9/18/2012 16:00,43.69,STT,,9/18/2012 16:00,48.52,NTRS
9/19/2012 16:00,41.34,JPM,,9/19/2012 16:00,43.45,STT,,9/19/2012 16:00,47.83,NTRS
9/20/2012 16:00,41.25,JPM,,9/20/2012 16:00,43.43,STT,,9/20/2012 16:00,47.75,NTRS
9/21/2012 16:00,40.88,JPM,,9/21/2012 16:00,43.71,STT,,9/21/2012 16:00,47.84,NTRS
9/24/2012 16:00,41.23,JPM,,9/24/2012 16:00,43.39,STT,,9/24/2012 16:00,47.76,NTRS
9/25/2012 16:00,40.55,JPM,,9/25/2012 16:00,42.36,STT,,9/25/2012 16:00,46.96,NTRS
9/26/2012 16:00,40.24,JPM,,9/26/2012 16:00,41.71,STT,,9/26/2012 16:00,46.41,NTRS
9/27/2012 16:00,40.68,JPM,,9/27/2012 16:00,42.04,STT,,9/27/2012 16:00,46.55,NTRS
9/28/2012 16:00,40.48,JPM,,9/28/2012 16:00,41.96,STT,,9/28/2012 16:00,46.42,NTRS
10/1/2012 16:00,40.97,JPM,,10/1/2012 16:00,42.07,STT,,10/1/2012 16:00,46.88,NTRS
10/2/2012 16:00,40.92,JPM,,10/2/2012 16:00,42.08,STT,,10/2/2012 16:00,47.2,NTRS
10/3/2012 16:00,40.86,JPM,,10/3/2012 16:00,41.94,STT,,10/3/2012 16:00,47.47,NTRS
10/4/2012 16:00,41.82,JPM,,10/4/2012 16:00,42.29,STT,,10/4/2012 16:00,47.71,NTRS
10/5/2012 16:00,41.71,JPM,,10/5/2012 16:00,41.99,STT,,10/5/2012 16:00,47.35,NTRS
10/8/2012 16:00,41.66,JPM,,10/8/2012 16:00,41.95,STT,,10/8/2012 16:00,47.11,NTRS
10/9/2012 16:00,41.38,JPM,,10/9/2012 16:00,41.49,STT,,10/9/2012 16:00,46.75,NTRS
10/10/2012 16:00,41.77,JPM,,10/10/2012 16:00,41.46,STT,,10/10/2012 16:00,46.8,NTRS
10/11/2012 16:00,42.1,JPM,,10/11/2012 16:00,42.02,STT,,10/11/2012 16:00,47.05,NTRS
10/12/2012 16:00,41.62,JPM,,10/12/2012 16:00,41.38,STT,,10/12/2012 16:00,46.29,NTRS
10/15/2012 16:00,42.38,JPM,,10/15/2012 16:00,41.58,STT,,10/15/2012 16:00,46.66,NTRS
10/16/2012 16:00,42.83,JPM,,10/16/2012 16:00,43.53,STT,,10/16/2012 16:00,47.53,NTRS
10/17/2012 16:00,43.32,JPM,,10/17/2012 16:00,44.69,STT,,10/17/2012 16:00,48.21,NTRS
10/18/2012 16:00,43.01,JPM,,10/18/2012 16:00,44.93,STT,,10/18/2012 16:00,48.32,NTRS
10/19/2012 16:00,42.32,JPM,,10/19/2012 16:00,44.66,STT,,10/19/2012 16:00,47.1,NTRS
10/22/2012 16:00,42.09,JPM,,10/22/2012 16:00,44.71,STT,,10/22/2012 16:00,47.19,NTRS
10/23/2012 16:00,41.33,JPM,,10/23/2012 16:00,43.92,STT,,10/23/2012 16:00,46.93,NTRS
10/24/2012 16:00,41.71,JPM,,10/24/2012 16:00,44.26,STT,,10/24/2012 16:00,47.09,NTRS
10/25/2012 16:00,41.67,JPM,,10/25/2012 16:00,44.69,STT,,10/25/2012 16:00,47.33,NTRS
10/26/2012 16:00,41.16,JPM,,10/26/2012 16:00,44.38,STT,,10/26/2012 16:00,47.17,NTRS
