Date,Symbol,Close
7/23/12,STT,39.72
7/24/12,STT,39.42
7/25/12,STT,39.17
7/26/12,STT,39.69
7/27/12,STT,40.37
7/30/12,STT,40.18
7/31/12,STT,40.38
8/1/12,STT,40.24
8/2/12,STT,39.56
8/3/12,STT,40.7
8/6/12,STT,40.49
8/7/12,STT,41.31
8/8/12,STT,41.38
8/9/12,STT,41.81
8/10/12,STT,41.85
8/13/12,STT,41.79
8/14/12,STT,41.22
8/15/12,STT,41.35
8/16/12,STT,41.57
8/17/12,STT,41.91
8/20/12,STT,41.91
8/21/12,STT,41.85
8/22/12,STT,41.68
8/23/12,STT,41.22
8/24/12,STT,41.44
8/27/12,STT,41.1
8/28/12,STT,41.1
8/29/12,STT,41.23
8/30/12,STT,41.18
8/31/12,STT,41.6
9/4/12,STT,41.72
9/5/12,STT,41.95
9/6/12,STT,42.86
9/7/12,STT,43
9/10/12,STT,42.9
9/11/12,STT,43.1
9/12/12,STT,43.18
9/13/12,STT,44.09
9/14/12,STT,43.92
9/17/12,STT,43.91
9/18/12,STT,43.69
9/19/12,STT,43.45
9/20/12,STT,43.43
9/21/12,STT,43.71
9/24/12,STT,43.39
9/25/12,STT,42.36
9/26/12,STT,41.71
9/27/12,STT,42.04
9/28/12,STT,41.96
10/1/12,STT,42.07
10/2/12,STT,42.08
10/3/12,STT,41.94
10/4/12,STT,42.29
10/5/12,STT,41.99
10/8/12,STT,41.95
10/9/12,STT,41.49
10/10/12,STT,41.46
10/11/12,STT,42.02
10/12/12,STT,41.38
10/15/12,STT,41.58
10/16/12,STT,43.53
10/17/12,STT,44.69
10/18/12,STT,44.93
10/19/12,STT,44.66
10/22/12,STT,44.71
10/23/12,STT,43.92
10/24/12,STT,44.26
10/25/12,STT,44.69
10/26/12,STT,44.38
10/31/12,STT,44.57
11/1/12,STT,45.05
11/2/12,STT,44.72
11/5/12,STT,45.93
11/6/12,STT,46.33
11/7/12,STT,44.72
11/8/12,STT,44.38
11/9/12,STT,44.31
11/12/12,STT,44.39
11/13/12,STT,44.28
11/14/12,STT,43.98
11/15/12,STT,44.14
11/16/12,STT,44.21
11/19/12,STT,45.29
11/20/12,STT,45.29
11/21/12,STT,45.4
11/23/12,STT,45.78
11/26/12,STT,44.9
11/27/12,STT,44.54
11/28/12,STT,44.66
11/29/12,STT,44.6
11/30/12,STT,44.44
12/3/12,STT,44.71
12/4/12,STT,44.4
12/5/12,STT,44.63
12/6/12,STT,44.57
12/7/12,STT,45.15
12/10/12,STT,44.94
12/11/12,STT,45.35
12/12/12,STT,45.41
12/13/12,STT,45.35
12/14/12,STT,45.45
12/17/12,STT,46.43
12/18/12,STT,46.97
12/19/12,STT,46.5
12/20/12,STT,46.55
12/21/12,STT,46.41
12/24/12,STT,46.38
12/26/12,STT,46.47
12/27/12,STT,46.32
12/28/12,STT,46.05
12/31/12,STT,47.01
1/2/13,STT,48.32
1/3/13,STT,48.06
1/4/13,STT,49.39
1/7/13,STT,49.44
1/8/13,STT,49.11
1/9/13,STT,49.51
1/10/13,STT,50.25
1/11/13,STT,50.58
1/14/13,STT,51.01
1/15/13,STT,50.8
1/16/13,STT,49.85
1/17/13,STT,50.38
1/18/13,STT,53.36
1/22/13,STT,55.25
1/23/13,STT,55.33
1/24/13,STT,55.52
1/25/13,STT,56.45
1/28/13,STT,56.39
1/29/13,STT,56.04
1/30/13,STT,55.92
1/31/13,STT,55.65
2/1/13,STT,56.36
2/4/13,STT,55.94
2/5/13,STT,56.17
2/6/13,STT,56.38
2/7/13,STT,56.23
2/8/13,STT,56.55
2/11/13,STT,56.6
2/12/13,STT,56.93
2/13/13,STT,57.07
2/14/13,STT,57.2
2/15/13,STT,57.24
2/19/13,STT,57.54
2/20/13,STT,56.73
2/21/13,STT,56.09
2/22/13,STT,57.19
2/25/13,STT,56.2
2/26/13,STT,56.9
2/27/13,STT,56.97
2/28/13,STT,56.59
3/1/13,STT,56.31
3/4/13,STT,57.1
3/5/13,STT,57.5
3/6/13,STT,58.66
3/7/13,STT,58.66
3/8/13,STT,59.2
3/11/13,STT,59.38
3/12/13,STT,59.13
3/13/13,STT,59.81
3/14/13,STT,59.95
3/15/13,STT,60.03
3/18/13,STT,59.31
3/19/13,STT,59.26
3/20/13,STT,60.53
3/21/13,STT,59
3/22/13,STT,59.77
3/25/13,STT,59.32
3/26/13,STT,59.76
3/27/13,STT,59.41
3/28/13,STT,59.09
4/1/13,STT,58.23
4/2/13,STT,58.71
4/3/13,STT,56.91
4/4/13,STT,57.17
4/5/13,STT,57.57
4/8/13,STT,57.96
4/9/13,STT,58.48
4/10/13,STT,59.94
4/11/13,STT,60.48
4/12/13,STT,59.75
4/15/13,STT,57.66
4/16/13,STT,58.31
4/17/13,STT,57.29
4/18/13,STT,56.51
4/19/13,STT,56.93
4/22/13,STT,57.25
4/23/13,STT,58.26
4/24/13,STT,58.27
4/25/13,STT,58.3
4/26/13,STT,57.86
4/29/13,STT,58.15
4/30/13,STT,58.47
5/1/13,STT,57.47
5/2/13,STT,57.6
5/3/13,STT,59.45
5/6/13,STT,59.53
5/7/13,STT,59.68
5/8/13,STT,60.56
5/9/13,STT,60.22
5/10/13,STT,60.33
5/13/13,STT,61.67
